Text,Sentiment
Terrible experience.,0
Highly recommend it!,1
I hate this product.,0
I will never buy this again.,0
Worst purchase ever.,0
Terrible experience.,0
I hate this product.,0
Best purchase ever!,1
Terrible experience.,0
I hate this product.,0
Terrible experience.,0
I hate this product.,0
Not worth the money.,0
I love this product!,1
I love this product!,1
This exceeded my expectations.,1
Not worth the money.,0
This exceeded my expectations.,1
Terrible experience.,0
I love this product!,1
Not worth the money.,0
Terrible experience.,0
Best purchase ever!,1
This exceeded my expectations.,1
Absolutely amazing!,1
Terrible experience.,0
Terrible experience.,0
Best purchase ever!,1
Absolutely amazing!,1
Absolutely amazing!,1
Worst purchase ever.,0
Not worth the money.,0
Highly recommend it!,1
This exceeded my expectations.,1
Best purchase ever!,1
Highly recommend it!,1
Absolutely amazing!,1
I hate this product.,0
Absolutely amazing!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
Terrible experience.,0
Worst purchase ever.,0
Highly recommend it!,1
I love this product!,1
Absolutely amazing!,1
I will never buy this again.,0
Highly recommend it!,1
Worst purchase ever.,0
I will never buy this again.,0
Terrible experience.,0
This exceeded my expectations.,1
I will never buy this again.,0
Terrible experience.,0
I love this product!,1
This exceeded my expectations.,1
I hate this product.,0
Terrible experience.,0
Highly recommend it!,1
This exceeded my expectations.,1
Worst purchase ever.,0
I hate this product.,0
Not worth the money.,0
I will never buy this again.,0
I hate this product.,0
Worst purchase ever.,0
Not worth the money.,0
Terrible experience.,0
Worst purchase ever.,0
This exceeded my expectations.,1
I hate this product.,0
This exceeded my expectations.,1
This exceeded my expectations.,1
Worst purchase ever.,0
Worst purchase ever.,0
Highly recommend it!,1
I love this product!,1
Not worth the money.,0
Not worth the money.,0
This exceeded my expectations.,1
I will never buy this again.,0
I will never buy this again.,0
This exceeded my expectations.,1
Terrible experience.,0
I will never buy this again.,0
This exceeded my expectations.,1
I will never buy this again.,0
Best purchase ever!,1
Absolutely amazing!,1
Not worth the money.,0
Absolutely amazing!,1
Highly recommend it!,1
Not worth the money.,0
Worst purchase ever.,0
Terrible experience.,0
I love this product!,1
I will never buy this again.,0
This exceeded my expectations.,1
This exceeded my expectations.,1
Not worth the money.,0
Best purchase ever!,1
Worst purchase ever.,0
Best purchase ever!,1
Worst purchase ever.,0
I hate this product.,0
I hate this product.,0
I hate this product.,0
I hate this product.,0
Not worth the money.,0
I hate this product.,0
Absolutely amazing!,1
I love this product!,1
Terrible experience.,0
Not worth the money.,0
Terrible experience.,0
This exceeded my expectations.,1
This exceeded my expectations.,1
Highly recommend it!,1
Absolutely amazing!,1
Absolutely amazing!,1
Absolutely amazing!,1
Absolutely amazing!,1
I will never buy this again.,0
Worst purchase ever.,0
I hate this product.,0
I will never buy this again.,0
Terrible experience.,0
Highly recommend it!,1
Highly recommend it!,1
I hate this product.,0
I will never buy this again.,0
This exceeded my expectations.,1
Absolutely amazing!,1
I hate this product.,0
This exceeded my expectations.,1
I love this product!,1
Best purchase ever!,1
This exceeded my expectations.,1
I hate this product.,0
Worst purchase ever.,0
I hate this product.,0
I will never buy this again.,0
I love this product!,1
Best purchase ever!,1
I will never buy this again.,0
I love this product!,1
Not worth the money.,0
I love this product!,1
I will never buy this again.,0
Worst purchase ever.,0
This exceeded my expectations.,1
I will never buy this again.,0
This exceeded my expectations.,1
Highly recommend it!,1
Highly recommend it!,1
Highly recommend it!,1
I will never buy this again.,0
I hate this product.,0
Highly recommend it!,1
Highly recommend it!,1
Best purchase ever!,1
Best purchase ever!,1
Not worth the money.,0
Absolutely amazing!,1
Highly recommend it!,1
I hate this product.,0
Not worth the money.,0
I love this product!,1
I love this product!,1
Highly recommend it!,1
I love this product!,1
I hate this product.,0
I love this product!,1
I hate this product.,0
I hate this product.,0
Highly recommend it!,1
I will never buy this again.,0
Not worth the money.,0
Highly recommend it!,1
Terrible experience.,0
Highly recommend it!,1
I hate this product.,0
I will never buy this again.,0
This exceeded my expectations.,1
Terrible experience.,0
This exceeded my expectations.,1
I will never buy this again.,0
Highly recommend it!,1
Highly recommend it!,1
Absolutely amazing!,1
Best purchase ever!,1
Best purchase ever!,1
Absolutely amazing!,1
Not worth the money.,0
I will never buy this again.,0
Worst purchase ever.,0
Not worth the money.,0
Highly recommend it!,1
This exceeded my expectations.,1
Worst purchase ever.,0
Terrible experience.,0
I love this product!,1
Absolutely amazing!,1
Not worth the money.,0
Best purchase ever!,1
Best purchase ever!,1
I will never buy this again.,0
I will never buy this again.,0
This exceeded my expectations.,1
I will never buy this again.,0
Highly recommend it!,1
Absolutely amazing!,1
Absolutely amazing!,1
I hate this product.,0
This exceeded my expectations.,1
I will never buy this again.,0
Highly recommend it!,1
Absolutely amazing!,1
I will never buy this again.,0
Absolutely amazing!,1
Terrible experience.,0
Absolutely amazing!,1
Terrible experience.,0
Absolutely amazing!,1
Terrible experience.,0
Not worth the money.,0
This exceeded my expectations.,1
Highly recommend it!,1
Best purchase ever!,1
I love this product!,1
I hate this product.,0
Absolutely amazing!,1
I will never buy this again.,0
I love this product!,1
I hate this product.,0
Terrible experience.,0
I love this product!,1
I hate this product.,0
Best purchase ever!,1
I hate this product.,0
Best purchase ever!,1
Worst purchase ever.,0
Worst purchase ever.,0
Best purchase ever!,1
Highly recommend it!,1
Worst purchase ever.,0
I love this product!,1
Terrible experience.,0
Not worth the money.,0
I will never buy this again.,0
Highly recommend it!,1
Highly recommend it!,1
I love this product!,1
Highly recommend it!,1
Worst purchase ever.,0
Terrible experience.,0
I hate this product.,0
Best purchase ever!,1
Highly recommend it!,1
Terrible experience.,0
I will never buy this again.,0
Best purchase ever!,1
I love this product!,1
Absolutely amazing!,1
I love this product!,1
This exceeded my expectations.,1
Absolutely amazing!,1
Not worth the money.,0
Terrible experience.,0
Highly recommend it!,1
Not worth the money.,0
I hate this product.,0
Best purchase ever!,1
I will never buy this again.,0
This exceeded my expectations.,1
This exceeded my expectations.,1
Best purchase ever!,1
Absolutely amazing!,1
I love this product!,1
Best purchase ever!,1
This exceeded my expectations.,1
I will never buy this again.,0
I love this product!,1
I hate this product.,0
Not worth the money.,0
Worst purchase ever.,0
Terrible experience.,0
I hate this product.,0
Not worth the money.,0
I will never buy this again.,0
Highly recommend it!,1
Worst purchase ever.,0
This exceeded my expectations.,1
Worst purchase ever.,0
Terrible experience.,0
I will never buy this again.,0
I hate this product.,0
Absolutely amazing!,1
Highly recommend it!,1
I love this product!,1
Terrible experience.,0
I hate this product.,0
Best purchase ever!,1
I will never buy this again.,0
Best purchase ever!,1
I hate this product.,0
Absolutely amazing!,1
I love this product!,1
Highly recommend it!,1
Highly recommend it!,1
I will never buy this again.,0
This exceeded my expectations.,1
Highly recommend it!,1
Worst purchase ever.,0
I will never buy this again.,0
Absolutely amazing!,1
Absolutely amazing!,1
I hate this product.,0
Not worth the money.,0
I love this product!,1
I hate this product.,0
Worst purchase ever.,0
This exceeded my expectations.,1
Terrible experience.,0
Absolutely amazing!,1
I hate this product.,0
Worst purchase ever.,0
Highly recommend it!,1
This exceeded my expectations.,1
Not worth the money.,0
This exceeded my expectations.,1
Terrible experience.,0
Absolutely amazing!,1
Not worth the money.,0
I will never buy this again.,0
Best purchase ever!,1
Absolutely amazing!,1
Best purchase ever!,1
Highly recommend it!,1
I will never buy this again.,0
I love this product!,1
I will never buy this again.,0
I will never buy this again.,0
Highly recommend it!,1
Highly recommend it!,1
Terrible experience.,0
This exceeded my expectations.,1
Best purchase ever!,1
Absolutely amazing!,1
I hate this product.,0
Worst purchase ever.,0
Worst purchase ever.,0
This exceeded my expectations.,1
I hate this product.,0
Not worth the money.,0
This exceeded my expectations.,1
This exceeded my expectations.,1
Absolutely amazing!,1
I love this product!,1
This exceeded my expectations.,1
Highly recommend it!,1
I love this product!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
I hate this product.,0
Best purchase ever!,1
Absolutely amazing!,1
Best purchase ever!,1
I love this product!,1
Not worth the money.,0
I love this product!,1
Highly recommend it!,1
Best purchase ever!,1
Highly recommend it!,1
Highly recommend it!,1
Not worth the money.,0
Worst purchase ever.,0
I hate this product.,0
I hate this product.,0
I will never buy this again.,0
I hate this product.,0
This exceeded my expectations.,1
Absolutely amazing!,1
Absolutely amazing!,1
Absolutely amazing!,1
Terrible experience.,0
Best purchase ever!,1
I love this product!,1
I hate this product.,0
I love this product!,1
Absolutely amazing!,1
Absolutely amazing!,1
Absolutely amazing!,1
Not worth the money.,0
Not worth the money.,0
Not worth the money.,0
Worst purchase ever.,0
Best purchase ever!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
I hate this product.,0
Terrible experience.,0
This exceeded my expectations.,1
I will never buy this again.,0
Not worth the money.,0
Terrible experience.,0
Terrible experience.,0
I love this product!,1
Worst purchase ever.,0
Highly recommend it!,1
Highly recommend it!,1
Absolutely amazing!,1
I will never buy this again.,0
This exceeded my expectations.,1
Absolutely amazing!,1
I love this product!,1
This exceeded my expectations.,1
I love this product!,1
Worst purchase ever.,0
I hate this product.,0
Terrible experience.,0
Highly recommend it!,1
Worst purchase ever.,0
Absolutely amazing!,1
Worst purchase ever.,0
This exceeded my expectations.,1
I will never buy this again.,0
Absolutely amazing!,1
I will never buy this again.,0
Worst purchase ever.,0
Worst purchase ever.,0
Highly recommend it!,1
Terrible experience.,0
I love this product!,1
I hate this product.,0
Absolutely amazing!,1
I love this product!,1
Terrible experience.,0
Worst purchase ever.,0
I love this product!,1
Absolutely amazing!,1
I hate this product.,0
This exceeded my expectations.,1
Not worth the money.,0
This exceeded my expectations.,1
I hate this product.,0
I love this product!,1
Not worth the money.,0
Absolutely amazing!,1
I hate this product.,0
I will never buy this again.,0
Absolutely amazing!,1
Absolutely amazing!,1
I love this product!,1
I will never buy this again.,0
This exceeded my expectations.,1
I hate this product.,0
I will never buy this again.,0
I love this product!,1
Worst purchase ever.,0
Highly recommend it!,1
I will never buy this again.,0
I love this product!,1
Highly recommend it!,1
Not worth the money.,0
Worst purchase ever.,0
Absolutely amazing!,1
Highly recommend it!,1
Absolutely amazing!,1
I will never buy this again.,0
Best purchase ever!,1
I love this product!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
I love this product!,1
Highly recommend it!,1
I hate this product.,0
Absolutely amazing!,1
I will never buy this again.,0
Terrible experience.,0
This exceeded my expectations.,1
I will never buy this again.,0
Highly recommend it!,1
I love this product!,1
Not worth the money.,0
Highly recommend it!,1
I will never buy this again.,0
Absolutely amazing!,1
Terrible experience.,0
Absolutely amazing!,1
Not worth the money.,0
Absolutely amazing!,1
Terrible experience.,0
I will never buy this again.,0
Not worth the money.,0
Absolutely amazing!,1
This exceeded my expectations.,1
Best purchase ever!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
This exceeded my expectations.,1
Absolutely amazing!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
I will never buy this again.,0
Highly recommend it!,1
Best purchase ever!,1
Not worth the money.,0
Highly recommend it!,1
I will never buy this again.,0
This exceeded my expectations.,1
Absolutely amazing!,1
Best purchase ever!,1
Terrible experience.,0
This exceeded my expectations.,1
Terrible experience.,0
Worst purchase ever.,0
I hate this product.,0
Highly recommend it!,1
Worst purchase ever.,0
Not worth the money.,0
This exceeded my expectations.,1
I love this product!,1
This exceeded my expectations.,1
Worst purchase ever.,0
Absolutely amazing!,1
I hate this product.,0
I will never buy this again.,0
Absolutely amazing!,1
Terrible experience.,0
Not worth the money.,0
I love this product!,1
Best purchase ever!,1
I love this product!,1
This exceeded my expectations.,1
I hate this product.,0
Not worth the money.,0
I hate this product.,0
Worst purchase ever.,0
Best purchase ever!,1
Best purchase ever!,1
Absolutely amazing!,1
This exceeded my expectations.,1
Not worth the money.,0
This exceeded my expectations.,1
I love this product!,1
Worst purchase ever.,0
Terrible experience.,0
I hate this product.,0
This exceeded my expectations.,1
Not worth the money.,0
Highly recommend it!,1
Not worth the money.,0
Not worth the money.,0
Absolutely amazing!,1
Terrible experience.,0
I hate this product.,0
I will never buy this again.,0
Best purchase ever!,1
Not worth the money.,0
Not worth the money.,0
Best purchase ever!,1
I hate this product.,0
Absolutely amazing!,1
I hate this product.,0
Not worth the money.,0
I love this product!,1
Not worth the money.,0
Absolutely amazing!,1
Worst purchase ever.,0
Not worth the money.,0
Highly recommend it!,1
This exceeded my expectations.,1
Not worth the money.,0
I will never buy this again.,0
I hate this product.,0
Best purchase ever!,1
Highly recommend it!,1
Terrible experience.,0
Not worth the money.,0
Highly recommend it!,1
Worst purchase ever.,0
Worst purchase ever.,0
I will never buy this again.,0
Absolutely amazing!,1
Not worth the money.,0
Terrible experience.,0
I love this product!,1
Best purchase ever!,1
Absolutely amazing!,1
This exceeded my expectations.,1
Terrible experience.,0
I will never buy this again.,0
I will never buy this again.,0
Best purchase ever!,1
Worst purchase ever.,0
Absolutely amazing!,1
I love this product!,1
Worst purchase ever.,0
I hate this product.,0
Worst purchase ever.,0
Highly recommend it!,1
This exceeded my expectations.,1
Highly recommend it!,1
Not worth the money.,0
This exceeded my expectations.,1
I will never buy this again.,0
I will never buy this again.,0
I will never buy this again.,0
I hate this product.,0
I hate this product.,0
I love this product!,1
Not worth the money.,0
This exceeded my expectations.,1
Absolutely amazing!,1
I hate this product.,0
Highly recommend it!,1
Absolutely amazing!,1
Best purchase ever!,1
Absolutely amazing!,1
This exceeded my expectations.,1
Best purchase ever!,1
I love this product!,1
I love this product!,1
I love this product!,1
Highly recommend it!,1
I hate this product.,0
I will never buy this again.,0
Not worth the money.,0
Not worth the money.,0
Highly recommend it!,1
This exceeded my expectations.,1
Terrible experience.,0
Not worth the money.,0
Worst purchase ever.,0
This exceeded my expectations.,1
I love this product!,1
I love this product!,1
Terrible experience.,0
This exceeded my expectations.,1
Terrible experience.,0
I hate this product.,0
This exceeded my expectations.,1
I love this product!,1
This exceeded my expectations.,1
Best purchase ever!,1
Best purchase ever!,1
I will never buy this again.,0
I love this product!,1
I hate this product.,0
Highly recommend it!,1
I will never buy this again.,0
Absolutely amazing!,1
Terrible experience.,0
I will never buy this again.,0
Terrible experience.,0
This exceeded my expectations.,1
Worst purchase ever.,0
I will never buy this again.,0
This exceeded my expectations.,1
I will never buy this again.,0
Highly recommend it!,1
Terrible experience.,0
Absolutely amazing!,1
Highly recommend it!,1
Not worth the money.,0
Not worth the money.,0
Highly recommend it!,1
Terrible experience.,0
Highly recommend it!,1
This exceeded my expectations.,1
I love this product!,1
I will never buy this again.,0
I will never buy this again.,0
Best purchase ever!,1
Highly recommend it!,1
I hate this product.,0
Not worth the money.,0
Terrible experience.,0
Absolutely amazing!,1
Worst purchase ever.,0
Highly recommend it!,1
Highly recommend it!,1
Absolutely amazing!,1
Worst purchase ever.,0
I hate this product.,0
Best purchase ever!,1
Highly recommend it!,1
This exceeded my expectations.,1
This exceeded my expectations.,1
I will never buy this again.,0
Best purchase ever!,1
Best purchase ever!,1
Terrible experience.,0
Best purchase ever!,1
I hate this product.,0
I love this product!,1
I will never buy this again.,0
Not worth the money.,0
Best purchase ever!,1
Absolutely amazing!,1
Worst purchase ever.,0
Best purchase ever!,1
I love this product!,1
Terrible experience.,0
Absolutely amazing!,1
Absolutely amazing!,1
Not worth the money.,0
Not worth the money.,0
I hate this product.,0
I hate this product.,0
Worst purchase ever.,0
Best purchase ever!,1
Absolutely amazing!,1
Absolutely amazing!,1
Terrible experience.,0
Terrible experience.,0
Worst purchase ever.,0
I will never buy this again.,0
Highly recommend it!,1
I hate this product.,0
I will never buy this again.,0
I hate this product.,0
Not worth the money.,0
I love this product!,1
Absolutely amazing!,1
This exceeded my expectations.,1
I hate this product.,0
Absolutely amazing!,1
Best purchase ever!,1
I love this product!,1
I love this product!,1
Terrible experience.,0
I love this product!,1
Absolutely amazing!,1
Absolutely amazing!,1
Worst purchase ever.,0
I hate this product.,0
Best purchase ever!,1
I love this product!,1
Highly recommend it!,1
Not worth the money.,0
I love this product!,1
Not worth the money.,0
Terrible experience.,0
This exceeded my expectations.,1
I hate this product.,0
Highly recommend it!,1
Absolutely amazing!,1
Highly recommend it!,1
I hate this product.,0
Terrible experience.,0
Best purchase ever!,1
Absolutely amazing!,1
This exceeded my expectations.,1
Highly recommend it!,1
Absolutely amazing!,1
